secID,ticker,SecShortName,reportDate,holdingsecType,holdingSecID,holdingTicker,holdingExchangeCd,holdingsecShortName,holdVolume,marketValue,ratioInNa,publishDate,currencyCd
519674.OFCN,519674,银河创新成长混合,2016-06-30,E,603528.XSHG,603528,XSHG,多伦科技,3112,304944.88,0.07,2016-08-25,CNY
519674.OFCN,519674,银河创新成长混合,2016-12-31,E,603577.XSHG,603577,XSHG,汇金通,2460,69642.6,0.03,2017-03-31,CNY
519674.OFCN,519674,银河创新成长混合,2018-06-30,E,603605.XSHG,603605,XSHG,珀莱雅,22000,936320.0,0.58,2018-08-28,CNY
519674.OFCN,519674,银河创新成长混合,2016-06-30,E,603609.XSHG,603609,XSHG,禾丰牧业,900000,14247000.0,3.35,2016-07-19,CNY
519674.OFCN,519674,银河创新成长混合,2017-06-30,E,603617.XSHG,603617,XSHG,君禾股份,832,7429.76,0.0031,2017-08-29,CNY
519674.OFCN,519674,银河创新成长混合,2018-06-30,E,603650.XSHG,603650,XSHG,彤程新材,2376,50988.96,0.03,2018-08-28,CNY
519674.OFCN,519674,银河创新成长混合,2017-12-31,E,603655.XSHG,603655,XSHG,朗博科技,881,8193.3,0.0,2018-03-30,CNY
519674.OFCN,519674,银河创新成长混合,2016-12-31,E,603660.XSHG,603660,XSHG,苏州科达,26007,837945.54,0.37,2017-03-31,CNY
519674.OFCN,519674,银河创新成长混合,2017-06-30,E,603660.XSHG,603660,XSHG,苏州科达,26007,1064986.65,0.45,2017-08-29,CNY
519674.OFCN,519674,银河创新成长混合,2017-06-30,E,603679.XSHG,603679,XSHG,华体科技,809,21438.5,0.01,2017-08-29,CNY
519674.OFCN,519674,银河创新成长混合,2016-12-31,E,603689.XSHG,603689,XSHG,皖天然气,4818,37917.66,0.02,2017-03-31,CNY
519674.OFCN,519674,银河创新成长混合,2018-06-30,E,603693.XSHG,603693,XSHG,江苏新能,5384,48456.0,0.03,2018-08-28,CNY
519674.OFCN,519674,银河创新成长混合,2018-06-30,E,603706.XSHG,603706,XSHG,东方环宇,1765,23103.85,0.01,2018-08-28,CNY
519674.OFCN,519674,银河创新成长混合,2016-06-30,E,603737.XSHG,603737,XSHG,三棵树,1327,154038.16,0.04,2016-08-25,CNY
519674.OFCN,519674,银河创新成长混合,2016-06-30,E,603779.XSHG,603779,XSHG,ST威龙,2809,117865.64,0.03,2016-08-25,CNY
519674.OFCN,519674,银河创新成长混合,2017-06-30,E,603799.XSHG,603799,XSHG,华友钴业,92906,5646826.68,2.37,2017-08-29,CNY
519674.OFCN,519674,银河创新成长混合,2018-03-31,E,603799.XSHG,603799,XSHG,华友钴业,133500,15825090.0,6.28,2018-04-23,CNY
519674.OFCN,519674,银河创新成长混合,2018-06-30,E,603799.XSHG,603799,XSHG,华友钴业,118500,11550195.0,7.21,2018-07-18,CNY
519674.OFCN,519674,银河创新成长混合,2018-09-30,E,603799.XSHG,603799,XSHG,华友钴业,148000,7886920.0,5.44,2018-10-24,CNY
519674.OFCN,519674,银河创新成长混合,2017-06-30,E,603801.XSHG,603801,XSHG,志邦家居,1406,47522.8,0.02,2017-08-29,CNY
519674.OFCN,519674,银河创新成长混合,2019-06-30,E,603863.XSHG,603863,XSHG,松炀资源,1129,26057.32,0.01,2019-08-26,CNY
519674.OFCN,519674,银河创新成长混合,2019-06-30,E,603867.XSHG,603867,XSHG,新化股份,1045,26971.45,0.02,2019-08-26,CNY
519674.OFCN,519674,银河创新成长混合,2016-12-31,E,603877.XSHG,603877,XSHG,太平鸟,2862,60960.6,0.03,2017-03-31,CNY
519674.OFCN,519674,银河创新成长混合,2018-06-30,E,603883.XSHG,603883,XSHG,老百姓,28000,2328480.0,1.45,2018-08-28,CNY
519674.OFCN,519674,银河创新成长混合,2015-06-30,E,603899.XSHG,603899,XSHG,晨光文具,680000,27240800.0,2.36,2015-08-26,CNY
519674.OFCN,519674,银河创新成长混合,2015-12-31,E,603899.XSHG,603899,XSHG,晨光文具,1023209,43036170.54,3.47,2016-01-22,CNY
519674.OFCN,519674,银河创新成长混合,2016-03-31,E,603899.XSHG,603899,XSHG,晨光文具,400000,15060000.0,3.97,2016-04-21,CNY
519674.OFCN,519674,银河创新成长混合,2016-06-30,E,603899.XSHG,603899,XSHG,晨光文具,650000,11505000.0,2.7,2016-08-25,CNY
519674.OFCN,519674,银河创新成长混合,2016-06-30,E,603909.XSHG,603909,XSHG,合诚股份,1095,20126.1,0.0047,2016-08-25,CNY
519674.OFCN,519674,银河创新成长混合,2016-06-30,E,603919.XSHG,603919,XSHG,金徽酒,6604,204063.6,0.05,2016-08-25,CNY
519674.OFCN,519674,银河创新成长混合,2016-12-31,E,603929.XSHG,603929,XSHG,亚翔集成,2193,15592.23,0.01,2017-03-31,CNY
519674.OFCN,519674,银河创新成长混合,2017-06-30,E,603933.XSHG,603933,XSHG,睿能科技,857,17311.4,0.01,2017-08-29,CNY
519674.OFCN,519674,银河创新成长混合,2017-06-30,E,603938.XSHG,603938,XSHG,三孚股份,1246,20932.8,0.01,2017-08-29,CNY
519674.OFCN,519674,银河创新成长混合,2016-06-30,E,603958.XSHG,603958,XSHG,哈森股份,2372,34394.0,0.01,2016-08-25,CNY
519674.OFCN,519674,银河创新成长混合,2016-06-30,E,603959.XSHG,603959,XSHG,百利科技,2815,116681.75,0.03,2016-08-25,CNY
